Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
150770 - São Sebastião da Boa Vista;102,21%;84,03%;99,26%;93,61%;60,20%;86,73%;83,78%;72,73%;67,81%;70,02%;84,03%;91,65%;94,59%;88,45%;103,69%;97,79%;94,59%;56,02%;27,03%
150790 - Soure;74,29%;83,67%;68,16%;49,80%;65,71%;78,78%;84,90%;68,98%;56,73%;93,47%;83,67%;34,29%;45,71%;72,24%;112,24%;53,47%;93,88%;46,53%;42,04%
Totais;79,03%;53,05%;79,56%;59,76%;35,64%;55,79%;53,48%;70,05%;55,31%;70,38%;53,04%;68,85%;74,14%;58,92%;79,51%;57,06%;73,35%;39,39%;35,13%
150070 - Anajás;92,22%;63,11%;94,08%;69,37%;49,24%;81,73%;63,45%;64,97%;65,82%;86,63%;63,11%;89,34%;98,48%;81,22%;99,66%;77,83%;99,49%;48,90%;46,87%
150110 - Bagre;80,59%;73,96%;100,25%;67,81%;38,33%;71,25%;74,45%;57,99%;73,96%;87,22%;73,96%;85,75%;85,50%;81,57%;97,05%;76,41%;85,26%;56,27%;43,73%
150180 - Breves;79,21%;49,28%;74,40%;52,89%;30,85%;52,89%;49,47%;81,47%;53,46%;67,18%;49,28%;65,06%;69,30%;53,80%;73,29%;52,98%;67,04%;33,40%;32,44%
150280 - Curralinho;71,73%;61,31%;75,62%;57,77%;42,05%;52,47%;61,48%;64,49%;55,83%;75,62%;61,13%;70,85%;74,20%;61,31%;74,38%;56,18%;80,39%;50,53%;41,87%
150310 - Gurupá;62,74%;61,60%;83,08%;64,45%;33,08%;64,45%;61,79%;48,86%;55,51%;68,06%;61,60%;76,43%;78,14%;61,22%;86,12%;63,69%;87,45%;58,75%;47,15%
150450 - Melgaço;55,23%;34,79%;61,56%;57,66%;30,66%;30,17%;34,79%;45,50%;39,66%;50,12%;34,79%;47,93%;52,31%;36,50%;66,42%;36,01%;43,31%;20,68%;17,27%
150580 - Portel;90,11%;46,35%;80,79%;63,70%;36,14%;49,51%;47,57%;76,99%;52,11%;67,75%;46,35%;62,64%;72,45%;54,78%;78,44%;52,19%;68,31%;32,25%;28,93%
;92,21%;95,39%;96,76%;93,23%;88,41%;95,74%;95,28%;90,41%;96,59%;101,03%;95,37%;98,44%;101,36%;94,54%;94,42%;94,53%;103,21%;92,89%;95,95%
;105,40%;95,65%;97,62%;97,62%;90,85%;97,75%;95,61%;102,87%;96,89%;101,07%;95,62%;98,13%;101,60%;94,40%;94,69%;95,75%;103,58%;95,39%;99,62%
Totais;100,27%;99,58%;103,61%;96,29%;99,68%;103,13%;99,31%;98,73%;102,55%;109,66%;99,52%;100,42%;108,81%;98,73%;99,79%;98,14%;111,09%;101,80%;107,90%
110004 - Cacoal;100,85%;91,83%;94,46%;92,58%;89,67%;93,43%;91,46%;98,97%;95,49%;97,75%;91,74%;94,27%;96,34%;90,61%;87,70%;91,64%;98,69%;91,92%;100,00%
110009 - Espigão D'Oeste;86,25%;106,25%;98,13%;91,25%;104,38%;99,69%;105,94%;83,44%;110,00%;113,13%;106,25%;106,56%;112,81%;106,25%;100,94%;102,50%;114,06%;103,44%;106,56%
110018 - Pimenta Bueno;111,63%;116,90%;127,98%;108,31%;124,10%;128,53%;116,90%;110,53%;118,56%;138,78%;116,90%;116,07%;139,34%;116,90%;126,87%;114,13%;142,38%;123,82%;128,53%
110120 - Ministro Andreazza;97,37%;96,05%;109,21%;121,05%;92,11%;107,89%;96,05%;101,32%;90,79%;113,16%;96,05%;93,42%;109,21%;92,11%;101,32%;94,74%;110,53%;106,58%;114,47%
110147 - Primavera de Rondônia;88,00%;116,00%;144,00%;92,00%;116,00%;144,00%;116,00%;88,00%;124,00%;140,00%;116,00%;124,00%;148,00%;120,00%;152,00%;116,00%;136,00%;120,00%;124,00%
110148 - São Felipe D'Oeste;107,89%;92,11%;136,84%;81,58%;113,16%;126,32%;92,11%;110,53%;94,74%;110,53%;92,11%;71,05%;107,89%;89,47%;134,21%;86,84%;121,05%;134,21%;121,05%
Totais;88,28%;90,92%;92,14%;92,68%;84,51%;92,65%;91,05%;86,24%;93,05%;96,00%;90,88%;94,54%;97,53%;89,90%;90,21%;91,60%;100,10%;90,44%;92,92%
110012 - Ji-Paraná;89,83%;91,18%;86,28%;83,32%;85,45%;87,64%;91,31%;87,70%;94,40%;91,95%;91,11%;95,62%;92,98%;91,11%;85,77%;91,63%;94,72%;85,71%;85,51%
110015 - Ouro Preto do Oeste;91,36%;90,45%;93,64%;131,36%;83,64%;90,68%;90,23%;89,77%;93,41%;96,36%;90,45%;95,45%;97,50%;90,45%;91,36%;91,36%;99,09%;92,95%;94,77%
110025 - Presidente Médici;90,05%;86,39%;103,14%;90,58%;83,25%;98,43%;86,91%;89,53%;88,48%;103,14%;86,39%;89,53%;101,57%;86,39%;104,71%;87,96%;103,14%;92,15%;93,72%
110032 - São Miguel do Guaporé;83,85%;93,46%;100,38%;70,00%;80,38%;104,62%;93,46%;77,31%;87,69%;90,77%;93,46%;90,00%;101,92%;83,85%;85,38%;89,62%;107,69%;98,85%;111,54%
110034 - Alvorada D'Oeste;74,83%;90,91%;86,71%;104,20%;74,13%;88,11%;91,61%;72,03%;88,11%;100,70%;90,91%;94,41%;100,70%;88,81%;87,41%;93,71%;105,59%;83,22%;85,31%
110130 - Mirante da Serra;38,46%;53,85%;50,96%;62,50%;47,12%;47,12%;53,85%;40,38%;51,92%;56,73%;53,85%;52,88%;56,73%;53,85%;56,73%;58,65%;63,46%;51,92%;47,12%
110143 - Nova União;131,25%;122,92%;143,75%;102,08%;122,92%;145,83%;122,92%;133,33%;135,42%;147,92%;122,92%;135,42%;143,75%;120,83%;137,50%;135,42%;147,92%;141,67%;147,92%
110155 - Teixeirópolis;102,78%;125,00%;133,33%;138,89%;111,11%;133,33%;125,00%;102,78%;100,00%;119,44%;125,00%;83,33%;119,44%;125,00%;122,22%;83,33%;119,44%;113,89%;133,33%
110170 - Urupá;92,91%;95,28%;122,05%;114,96%;99,21%;126,77%;96,06%;92,13%;103,15%;137,80%;95,28%;104,72%;137,80%;96,06%;117,32%;101,57%;142,52%;121,26%;133,07%
110180 - Vale do Paraíso;108,16%;102,04%;122,45%;100,00%;104,08%;122,45%;102,04%;108,16%;122,45%;114,29%;102,04%;126,53%;114,29%;100,00%;128,57%;118,37%;118,37%;122,45%;140,82%
Totais;98,29%;98,86%;102,42%;97,15%;95,30%;103,92%;98,72%;96,65%;95,44%;105,56%;98,79%;99,29%;102,78%;96,65%;100,43%;98,22%;107,41%;103,49%;108,41%
110001 - Alta Floresta D'Oeste;91,70%;107,91%;108,70%;103,95%;105,53%;107,91%;107,91%;88,54%;98,02%;121,34%;108,30%;100,00%;120,55%;103,16%;115,42%;100,40%;122,53%;114,23%;117,00%
110014 - Nova Brasilândia D'Oeste;92,82%;97,95%;106,67%;108,72%;91,28%;108,72%;97,95%;91,79%;92,82%;104,62%;97,95%;93,33%;103,08%;97,44%;101,54%;93,33%;104,10%;109,23%;123,08%
110028 - Rolim de Moura;103,70%;97,59%;97,91%;87,14%;92,28%;102,25%;97,27%;103,86%;95,82%;102,09%;97,43%;99,36%;102,57%;95,98%;95,02%;98,23%;102,89%;96,78%;100,64%
110029 - Santa Luzia D'Oeste;89,39%;72,73%;103,03%;89,39%;93,94%;93,94%;72,73%;84,85%;80,30%;103,03%;72,73%;84,85%;37,88%;65,15%;93,94%;84,85%;107,58%;93,94%;98,48%
110037 - Alto Alegre dos Parecis;93,13%;105,34%;100,00%;100,00%;100,00%;100,00%;104,58%;90,84%;100,00%;106,11%;104,58%;100,76%;107,63%;103,82%;89,31%;98,47%;109,16%;103,82%;103,82%
110050 - Novo Horizonte do Oeste;96,92%;84,62%;112,31%;93,85%;86,15%;107,69%;86,15%;92,31%;84,62%;90,77%;84,62%;104,62%;86,15%;83,08%;113,85%;96,92%;89,23%;120,00%;123,08%
110090 - Castanheiras;96,97%;93,94%;109,09%;124,24%;93,94%;109,09%;93,94%;90,91%;90,91%;87,88%;93,94%;103,03%;109,09%;93,94%;109,09%;106,06%;121,21%;100,00%;109,09%
110145 - Parecis;118,42%;115,79%;97,37%;142,11%;100,00%;100,00%;115,79%;110,53%;118,42%;105,26%;115,79%;131,58%;105,26%;115,79%;102,63%;126,32%;110,53%;102,63%;110,53%
Totais;147,35%;94,97%;93,15%;107,81%;87,00%;92,83%;94,97%;146,01%;96,42%;95,35%;95,02%;99,95%;98,61%;94,22%;89,89%;97,06%;97,11%;90,58%;93,47%
110003 - Cabixi;75,93%;103,70%;114,81%;87,04%;109,26%;112,96%;103,70%;75,93%;96,30%;112,96%;103,70%;98,15%;118,52%;100,00%;105,56%;98,15%;120,37%;116,67%;124,07%
110005 - Cerejeiras;88,14%;101,03%;97,42%;121,65%;96,91%;96,39%;100,52%;85,57%;97,94%;97,42%;101,03%;101,55%;103,09%;100,52%;93,30%;97,42%;104,12%;94,33%;107,22%
110006 - Colorado do Oeste;57,41%;93,21%;85,80%;93,83%;72,84%;85,19%;93,21%;56,79%;93,83%;58,02%;93,21%;104,94%;82,72%;91,98%;80,86%;101,85%;91,36%;80,86%;88,27%
110007 - Corumbiara;25,81%;93,55%;87,10%;80,65%;86,02%;84,95%;94,62%;24,73%;84,95%;84,95%;93,55%;91,40%;89,25%;86,02%;80,65%;89,25%;86,02%;80,65%;93,55%
110030 - Vilhena;195,44%;93,78%;92,37%;111,12%;85,56%;92,78%;93,78%;193,94%;97,10%;99,17%;93,86%;99,09%;99,34%;93,61%;89,05%;96,18%;95,77%;90,04%;89,79%
110092 - Chupinguaia;47,01%;91,04%;98,51%;115,67%;93,28%;94,78%;91,04%;47,76%;96,27%;100,00%;91,04%;99,25%;100,75%;90,30%;101,49%;98,51%;102,24%;97,76%;99,25%
110146 - Pimenteiras do Oeste;25,93%;122,22%;92,59%;40,74%;92,59%;92,59%;122,22%;22,22%;111,11%;111,11%;122,22%;133,33%;111,11%;125,93%;100,00%;122,22%;107,41%;92,59%;100,00%
Totais;89,13%;102,17%;110,47%;95,06%;96,84%;108,50%;102,17%;73,12%;103,95%;107,31%;102,17%;100,59%;106,32%;99,01%;103,75%;99,41%;109,09%;95,65%;106,13%
110008 - Costa Marques;76,16%;80,81%;92,44%;80,81%;80,23%;85,47%;80,81%;32,56%;83,72%;84,88%;80,81%;85,47%;83,72%;79,65%;96,51%;82,56%;93,02%;87,79%;98,26%
110149 - São Francisco do Guaporé;93,21%;102,26%;105,88%;96,38%;95,93%;104,52%;102,26%;91,86%;103,62%;102,26%;102,26%;101,36%;101,36%;101,81%;93,21%;101,36%;100,90%;103,17%;116,74%
110150 - Seringueiras;100,88%;134,51%;146,90%;114,16%;123,89%;151,33%;134,51%;98,23%;135,40%;151,33%;134,51%;122,12%;150,44%;123,01%;135,40%;121,24%;149,56%;92,92%;97,35%
;80,41%;95,16%;95,99%;89,30%;86,22%;93,95%;94,98%;79,25%;96,33%;101,00%;95,15%;98,71%;101,14%;94,67%;94,18%;93,44%;102,88%;90,65%;92,67%
Totais;106,33%;103,27%;102,37%;94,69%;91,83%;102,45%;102,78%;105,96%;101,88%;108,57%;103,23%;102,33%;109,88%;101,67%;98,41%;98,45%;112,70%;102,82%;105,35%
110002 - Ariquemes;112,45%;97,81%;94,48%;90,89%;79,23%;96,14%;96,84%;112,01%;97,28%;103,07%;97,63%;97,37%;103,33%;98,95%;91,76%;93,60%;105,61%;93,95%;94,39%
110013 - Machadinho D'Oeste;100,00%;102,11%;97,89%;92,61%;91,03%;97,10%;102,64%;100,26%;100,00%;105,28%;102,37%;102,90%;105,54%;100,26%;96,57%;97,36%;110,82%;100,26%;102,37%
110026 - Rio Crespo;97,30%;124,32%;137,84%;89,19%;102,70%;129,73%;124,32%;97,30%;121,62%;113,51%;124,32%;135,14%;116,22%;124,32%;127,03%;135,14%;116,22%;113,51%;129,73%
110040 - Alto Paraíso;78,87%;90,14%;64,79%;66,90%;83,10%;61,97%;90,14%;79,58%;88,03%;80,99%;90,14%;81,69%;85,21%;85,21%;59,15%;76,76%;99,30%;57,04%;66,90%
110045 - Buritis;109,01%;121,32%;117,12%;103,00%;113,21%;115,92%;121,02%;106,01%;117,42%;115,02%;121,32%;123,72%;120,42%;113,81%;100,30%;121,92%;120,42%;122,82%;126,43%
110060 - Cacaulândia;71,43%;97,62%;97,62%;100,00%;92,86%;92,86%;97,62%;71,43%;88,10%;114,29%;97,62%;88,10%;111,90%;97,62%;95,24%;90,48%;111,90%;90,48%;100,00%
110070 - Campo Novo de Rondônia;101,27%;135,44%;187,34%;140,51%;155,70%;179,75%;135,44%;100,00%;132,91%;182,28%;136,71%;115,19%;183,54%;129,11%;201,27%;111,39%;192,41%;183,54%;188,61%
110094 - Cujubim;91,48%;84,66%;96,02%;85,23%;84,09%;98,86%;84,66%;92,05%;86,36%;100,57%;84,66%;88,64%;100,57%;84,09%;94,32%;82,95%;99,43%;97,73%;102,27%
110140 - Monte Negro;133,33%;125,83%;139,17%;130,83%;130,83%;139,17%;124,17%;136,67%;125,83%;145,83%;125,00%;119,17%;148,33%;120,00%;139,17%;114,17%;146,67%;149,17%;150,00%
Totais;96,42%;109,86%;112,82%;107,27%;102,47%;112,58%;109,74%;95,07%;107,89%;114,67%;109,99%;108,63%;113,44%;109,62%;113,69%;104,93%;113,56%;108,51%;110,48%
110011 - Jaru;96,09%;109,28%;114,82%;109,28%;105,37%;115,96%;109,28%;94,79%;106,03%;116,61%;109,45%;107,49%;114,50%;109,12%;115,31%;103,75%;114,66%;111,40%;111,07%
110100 - Governador Jorge Teixeira;109,68%;125,81%;122,58%;91,94%;116,13%;111,29%;124,19%;108,06%;124,19%;129,03%;125,81%;114,52%;132,26%;129,03%;124,19%;109,68%;130,65%;106,45%;108,06%
110160 - Theobroma;88,57%;105,71%;90,00%;81,43%;81,43%;91,43%;105,71%;88,57%;110,00%;91,43%;105,71%;108,57%;90,00%;105,71%;92,86%;107,14%;91,43%;77,14%;97,14%
110175 - Vale do Anari;95,38%;104,62%;109,23%;130,77%;84,62%;104,62%;104,62%;92,31%;107,69%;107,69%;104,62%;113,85%;110,77%;100,00%;110,77%;109,23%;110,77%;116,92%;121,54%
Totais;68,38%;90,16%;91,38%;84,94%;81,98%;88,30%;90,09%;66,95%;92,72%;96,34%;90,14%;96,05%;96,21%;90,06%;90,06%;90,05%;97,74%;83,69%;85,52%
110010 - Guajará-Mirim;89,01%;84,93%;81,56%;76,06%;73,58%;80,32%;84,75%;86,70%;87,23%;87,23%;84,93%;88,12%;88,83%;83,87%;81,03%;80,50%;96,45%;80,32%;82,27%
110020 - Porto Velho;66,31%;91,06%;92,44%;85,96%;83,24%;88,96%;90,98%;64,84%;94,03%;98,04%;91,04%;97,53%;97,47%;90,98%;91,36%;91,26%;97,76%;83,79%;85,43%
110033 - Nova Mamoré;79,70%;84,77%;88,07%;74,62%;74,37%;85,53%;84,77%;79,44%;82,49%;91,37%;84,77%;91,88%;93,91%;85,53%;81,47%;88,32%;96,45%;80,71%;83,25%
110080 - Candeias do Jamari;42,79%;89,08%;96,07%;90,39%;86,90%;93,01%;89,52%;43,23%;95,20%;95,63%;89,08%;90,83%;95,20%;89,96%;96,51%;89,08%;100,87%;88,21%;92,14%
110110 - Itapuã do Oeste;71,95%;98,78%;96,34%;117,07%;84,15%;102,44%;98,78%;68,29%;91,46%;79,27%;98,78%;93,90%;82,93%;97,56%;95,12%;91,46%;102,44%;102,44%;106,10%
;75,72%;75,97%;88,97%;72,92%;52,89%;71,05%;76,15%;73,45%;63,77%;79,60%;76,00%;83,66%;92,38%;75,62%;88,22%;69,94%;97,32%;71,32%;75,57%
;75,72%;75,97%;88,97%;72,92%;52,89%;71,05%;76,15%;73,45%;63,77%;79,60%;76,00%;83,66%;92,38%;75,62%;88,22%;69,94%;97,32%;71,32%;75,57%
Totais;73,74%;74,18%;89,39%;71,98%;50,05%;69,51%;74,34%;71,46%;60,99%;78,07%;74,19%;83,12%;92,38%;73,78%;88,60%;68,80%;97,39%;69,53%;73,65%
140002 - Amajari;52,98%;43,89%;74,61%;50,78%;39,81%;57,37%;44,83%;40,75%;49,22%;65,20%;43,89%;50,78%;62,38%;42,32%;72,10%;32,92%;73,67%;52,98%;56,74%
140005 - Alto Alegre;59,47%;44,03%;71,19%;41,98%;41,56%;55,35%;44,44%;41,77%;43,00%;64,20%;43,83%;55,14%;70,37%;43,21%;68,93%;41,15%;61,93%;37,65%;41,56%
140010 - Boa Vista;84,74%;85,11%;91,46%;71,56%;50,39%;67,89%;85,21%;84,19%;63,86%;74,88%;85,12%;93,42%;95,44%;83,93%;89,81%;80,77%;101,93%;72,95%;77,39%
140015 - Bonfim;65,56%;61,93%;68,88%;58,01%;51,36%;64,05%;61,93%;65,56%;63,14%;64,35%;61,93%;64,35%;64,35%;60,42%;65,56%;60,42%;66,77%;70,39%;69,18%
140017 - Cantá;62,04%;55,56%;60,19%;47,53%;47,53%;55,86%;55,56%;63,27%;58,95%;61,42%;55,86%;64,81%;63,58%;55,86%;61,11%;56,48%;68,21%;56,48%;57,10%
140030 - Mucajaí;58,33%;82,58%;93,18%;88,26%;76,89%;87,88%;82,95%;57,20%;88,26%;102,65%;82,58%;88,64%;103,79%;82,20%;87,12%;76,89%;104,55%;86,36%;86,74%
140040 - Normandia;27,35%;28,42%;25,74%;29,76%;23,59%;24,40%;28,42%;26,54%;29,22%;23,59%;28,42%;39,95%;24,13%;28,95%;28,15%;35,12%;29,49%;17,43%;19,84%
140045 - Pacaraima;83,29%;119,02%;283,80%;259,38%;119,02%;238,30%;119,54%;77,38%;121,85%;293,57%;119,02%;146,79%;305,66%;130,85%;299,74%;70,69%;313,37%;198,97%;213,11%
140070 - Uiramutã;23,69%;13,05%;19,48%;21,49%;13,45%;14,26%;13,05%;20,28%;14,86%;15,86%;13,05%;17,27%;13,86%;12,65%;18,88%;14,86%;12,85%;9,04%;11,24%
Totais;90,30%;89,19%;85,87%;79,83%;73,87%;82,47%;89,53%;88,09%;84,34%;90,89%;89,36%;87,66%;92,43%;89,19%;85,45%;78,30%;96,85%;84,51%;89,70%
140020 - Caracaraí;63,08%;84,59%;79,93%;92,11%;64,52%;72,76%;85,30%;60,57%;74,55%;82,44%;84,95%;74,91%;86,74%;85,66%;82,80%;63,44%;94,27%;78,85%;84,23%
140023 - Caroebe;103,57%;122,14%;100,00%;114,29%;115,71%;100,00%;123,57%;102,14%;115,71%;109,29%;121,43%;126,43%;109,29%;122,14%;90,71%;118,57%;110,71%;115,71%;115,71%
140028 - Iracema;72,07%;66,67%;63,96%;48,65%;56,76%;59,46%;66,67%;64,86%;66,67%;83,78%;66,67%;75,68%;85,59%;69,37%;70,27%;61,26%;89,19%;68,47%;69,37%
140047 - Rorainópolis;106,77%;85,37%;81,88%;70,52%;70,52%;78,82%;85,37%;105,02%;85,15%;89,30%;85,59%;86,46%;88,65%;84,28%;82,31%;79,04%;93,23%;80,35%;82,10%
140050 - São João da Baliza;87,72%;101,75%;95,61%;77,19%;75,44%;94,74%;101,75%;86,84%;87,72%;89,47%;102,63%;89,47%;96,49%;100,88%;94,74%;80,70%;93,86%;67,54%;97,37%
140060 - São Luiz;97,26%;82,19%;124,66%;76,71%;73,97%;124,66%;82,19%;97,26%;78,08%;110,96%;82,19%;84,93%;109,59%;82,19%;113,70%;75,34%;119,18%;123,29%;127,40%
;105,58%;92,28%;91,97%;87,38%;79,95%;90,72%;92,19%;104,93%;92,58%;95,48%;92,29%;95,62%;97,41%;92,03%;93,70%;90,97%;94,60%;81,84%;80,19%
;125,04%;94,76%;94,20%;89,66%;80,78%;93,80%;94,65%;124,61%;96,27%;98,22%;94,73%;98,41%;98,86%;94,22%;95,04%;93,65%;95,95%;83,45%;78,06%
Totais;137,50%;89,88%;89,42%;89,12%;73,70%;88,99%;89,75%;135,63%;92,25%;94,72%;89,86%;95,05%;95,16%;89,58%;90,56%;90,16%;90,16%;76,56%;68,23%
170130 - Aragominas;135,56%;115,56%;117,78%;93,33%;126,67%;115,56%;113,33%;135,56%;113,33%;128,89%;115,56%;106,67%;131,11%;113,33%;120,00%;108,89%;126,67%;115,56%;133,33%
170210 - Araguaína;129,16%;82,31%;83,35%;87,98%;64,83%;84,23%;82,06%;127,16%;86,23%;87,98%;82,31%;89,82%;88,82%;82,81%;83,77%;85,40%;80,68%;65,54%;51,48%
170215 - Araguanã;117,39%;95,65%;108,70%;76,09%;73,91%;80,43%;95,65%;115,22%;97,83%;102,17%;95,65%;104,35%;100,00%;95,65%;106,52%;84,78%;95,65%;84,78%;82,61%
170300 - Babaçulândia;164,47%;85,53%;110,53%;78,95%;81,58%;110,53%;85,53%;155,26%;100,00%;113,16%;85,53%;96,05%;110,53%;88,16%;111,84%;90,79%;123,68%;113,16%;113,16%
170307 - Barra do Ouro;114,55%;109,09%;109,09%;89,09%;83,64%;100,00%;109,09%;110,91%;109,09%;120,00%;109,09%;110,91%;125,45%;110,91%;114,55%;94,55%;127,27%;100,00%;96,36%
170384 - Campos Lindos;162,32%;102,90%;102,17%;94,93%;84,06%;100,72%;102,17%;159,42%;106,52%;100,00%;102,17%;107,25%;100,72%;101,45%;102,90%;97,10%;92,03%;98,55%;102,90%
170388 - Carmolândia;109,52%;114,29%;161,90%;95,24%;123,81%;161,90%;119,05%;109,52%;80,95%;142,86%;114,29%;104,76%;142,86%;104,76%;157,14%;100,00%;142,86%;138,10%;133,33%
170650 - Darcinópolis;174,29%;104,29%;121,43%;80,00%;87,14%;120,00%;104,29%;168,57%;102,86%;130,00%;104,29%;107,14%;127,14%;104,29%;111,43%;101,43%;115,71%;102,86%;104,29%
170770 - Filadélfia;160,92%;94,25%;78,16%;71,26%;67,82%;79,31%;94,25%;160,92%;96,55%;80,46%;94,25%;100,00%;79,31%;91,95%;74,71%;88,51%;73,56%;82,76%;77,01%
170900 - Goiatins;127,57%;103,24%;103,24%;81,62%;87,03%;95,14%;103,78%;126,49%;97,30%;105,95%;103,24%;94,59%;104,32%;100,00%;109,73%;89,73%;121,62%;98,38%;91,35%
171395 - Muricilândia;180,49%;114,63%;75,61%;85,37%;102,44%;82,93%;114,63%;178,05%;107,32%;90,24%;114,63%;129,27%;90,24%;117,07%;95,12%;117,07%;100,00%;73,17%;75,61%
171488 - Nova Olinda;183,33%;125,40%;96,83%;102,38%;106,35%;97,62%;126,19%;184,13%;119,05%;115,87%;126,19%;112,70%;114,29%;119,84%;92,06%;112,70%;107,14%;93,65%;99,21%
171630 - Pau D'Arco;148,84%;113,95%;74,42%;113,95%;109,30%;83,72%;111,63%;144,19%;109,30%;125,58%;113,95%;95,35%;125,58%;111,63%;93,02%;86,05%;118,60%;104,65%;104,65%
171720 - Piraquê;180,00%;100,00%;112,00%;108,00%;84,00%;116,00%;100,00%;180,00%;108,00%;112,00%;100,00%;120,00%;116,00%;100,00%;112,00%;116,00%;124,00%;136,00%;132,00%
171886 - Santa Fé do Araguaia;148,42%;96,84%;89,47%;83,16%;85,26%;88,42%;96,84%;145,26%;96,84%;101,05%;96,84%;104,21%;96,84%;97,89%;100,00%;101,05%;103,16%;93,68%;100,00%
172208 - Wanderlândia;152,53%;93,94%;98,99%;92,93%;80,81%;94,95%;93,94%;154,55%;103,03%;97,98%;93,94%;104,04%;98,99%;87,88%;104,04%;108,08%;100,00%;101,01%;96,97%
172210 - Xambioá;160,94%;105,47%;100,00%;117,97%;100,78%;96,09%;106,25%;162,50%;102,34%;104,69%;104,69%;107,03%;107,81%;104,69%;100,78%;102,34%;104,69%;82,03%;104,69%
Totais;107,55%;105,30%;101,93%;92,00%;93,08%;100,94%;105,21%;106,83%;105,84%;105,98%;105,39%;106,56%;106,74%;104,81%;101,44%;101,48%;106,74%;92,54%;90,29%
170030 - Aguiarnópolis;163,64%;140,91%;125,00%;97,73%;113,64%;127,27%;140,91%;161,36%;150,00%;127,27%;140,91%;152,27%;127,27%;140,91%;122,73%;143,18%;127,27%;136,36%;140,91%
170100 - Ananás;165,83%;103,33%;85,83%;86,67%;89,17%;81,67%;103,33%;161,67%;108,33%;82,50%;103,33%;105,83%;84,17%;102,50%;90,83%;99,17%;88,33%;73,33%;74,17%
170105 - Angico;154,29%;88,57%;71,43%;71,43%;71,43%;62,86%;88,57%;148,57%;88,57%;82,86%;88,57%;105,71%;77,14%;88,57%;74,29%;100,00%;74,29%;37,14%;42,86%
170220 - Araguatins;78,53%;92,94%;91,47%;87,06%;82,94%;91,76%;93,53%;77,94%;94,71%;103,24%;92,94%;90,88%;102,06%;92,35%;88,53%;87,65%;98,82%;83,53%;70,29%
170255 - Augustinópolis;93,16%;105,98%;102,56%;81,62%;97,86%;104,70%;105,56%;92,74%;106,84%;109,40%;105,98%;106,84%;108,12%;105,56%;104,70%;101,71%;107,26%;97,01%;94,44%
170290 - Axixá do Tocantins;82,93%;126,02%;127,64%;78,05%;111,38%;126,83%;126,02%;83,74%;120,33%;126,83%;126,02%;134,15%;129,27%;130,08%;126,02%;125,20%;128,46%;74,80%;77,24%
170380 - Buriti do Tocantins;96,36%;126,36%;107,27%;117,27%;113,64%;110,00%;127,27%;100,00%;127,27%;126,36%;126,36%;120,00%;126,36%;125,45%;96,36%;118,18%;129,09%;95,45%;80,00%
170382 - Cachoeirinha;76,19%;142,86%;109,52%;95,24%;90,48%;109,52%;142,86%;76,19%;128,57%;114,29%;142,86%;138,10%;109,52%;138,10%;119,05%;133,33%;85,71%;76,19%;85,71%
170389 - Carrasco Bonito;84,44%;102,22%;111,11%;128,89%;104,44%;115,56%;102,22%;88,89%;100,00%;104,44%;102,22%;113,33%;106,67%;104,44%;106,67%;104,44%;108,89%;115,56%;126,67%
170740 - Esperantina;81,01%;112,66%;118,99%;101,27%;97,47%;116,46%;112,66%;78,48%;118,99%;122,78%;113,92%;129,11%;134,18%;117,72%;134,18%;117,72%;120,25%;101,27%;65,82%
171070 - Itaguatins;83,67%;112,24%;100,00%;95,92%;97,96%;95,92%;112,24%;83,67%;106,12%;87,76%;112,24%;104,08%;97,96%;104,08%;102,04%;104,08%;95,92%;73,47%;89,80%
171245 - Luzinópolis;158,82%;108,82%;88,24%;117,65%;76,47%;82,35%;108,82%;155,88%;100,00%;88,24%;108,82%;114,71%;82,35%;105,88%;102,94%;102,94%;79,41%;64,71%;97,06%
171280 - Maurilândia do Tocantins;84,85%;112,12%;96,97%;63,64%;84,85%;100,00%;112,12%;81,82%;106,06%;109,09%;112,12%;96,97%;106,06%;109,09%;90,91%;84,85%;109,09%;90,91%;87,88%
171380 - Palmeiras do Tocantins;147,73%;134,09%;154,55%;140,91%;145,45%;156,82%;129,55%;147,73%;138,64%;140,91%;134,09%;136,36%;147,73%;134,09%;147,73%;131,82%;147,73%;152,27%;161,36%
171430 - Nazaré;149,12%;75,44%;84,21%;52,63%;59,65%;59,65%;77,19%;145,61%;75,44%;71,93%;75,44%;77,19%;75,44%;77,19%;85,96%;78,95%;78,95%;64,91%;77,19%
171830 - Praia Norte;53,33%;101,33%;102,67%;97,33%;78,67%;89,33%;100,00%;50,67%;110,67%;101,33%;101,33%;116,00%;102,67%;105,33%;100,00%;110,67%;122,67%;88,00%;84,00%
171855 - Riachinho;168,09%;104,26%;78,72%;85,11%;74,47%;80,85%;102,13%;170,21%;110,64%;89,36%;104,26%;106,38%;87,23%;97,87%;76,60%;106,38%;80,85%;100,00%;93,62%
