Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
150497 - Nova Ipixuna;83,04%;99,42%;95,32%;72,51%;84,21%;92,40%;99,42%;82,46%;97,08%;94,74%;99,42%;114,62%;97,08%;102,34%;100,00%;114,04%;95,91%;39,77%;64,91%
150549 - Palestina do Pará;57,69%;75,00%;85,58%;71,15%;80,77%;96,15%;75,00%;58,65%;79,81%;91,35%;75,00%;87,50%;93,27%;81,73%;86,54%;82,69%;86,54%;43,27%;58,65%
150553 - Parauapebas;98,13%;74,25%;65,27%;78,87%;55,48%;76,16%;74,23%;92,14%;83,33%;84,18%;74,21%;89,43%;81,80%;77,67%;72,20%;79,04%;63,43%;41,01%;46,40%
150563 - Piçarra;122,52%;82,12%;121,19%;103,31%;72,85%;129,80%;82,12%;122,52%;111,92%;125,17%;82,12%;111,92%;127,15%;102,65%;143,05%;103,97%;114,57%;102,65%;107,28%
150618 - Rondon do Pará;98,12%;92,47%;89,04%;89,38%;97,09%;114,55%;92,47%;97,77%;97,09%;129,11%;92,47%;100,86%;94,69%;96,58%;85,79%;90,24%;98,80%;53,25%;98,46%
150715 - São Domingos do Araguaia;52,20%;74,73%;66,21%;54,40%;53,85%;73,90%;74,73%;52,75%;74,73%;74,18%;74,73%;81,04%;72,80%;77,75%;66,48%;74,45%;62,09%;37,64%;52,20%
150745 - São Geraldo do Araguaia;79,72%;73,73%;70,97%;69,35%;59,91%;76,50%;73,73%;72,58%;71,66%;79,95%;73,73%;85,48%;82,49%;76,96%;79,72%;81,80%;73,04%;38,48%;59,22%
150750 - São João do Araguaia;43,82%;65,73%;61,24%;64,61%;51,12%;77,53%;65,73%;48,88%;80,34%;64,61%;65,73%;89,33%;73,03%;93,26%;58,99%;88,76%;59,55%;25,84%;32,58%
Totais;65,34%;70,61%;64,51%;69,31%;55,88%;76,84%;70,47%;63,16%;81,01%;85,04%;70,49%;82,20%;80,07%;76,00%;69,29%;78,14%;74,30%;32,83%;43,77%
150178 - Breu Branco;56,49%;62,03%;53,51%;67,43%;47,70%;68,24%;62,03%;48,38%;60,81%;66,35%;62,03%;64,46%;68,38%;63,11%;52,43%;63,38%;69,32%;30,00%;40,54%
150309 - Goianésia do Pará;80,39%;71,90%;73,86%;64,92%;62,75%;77,78%;71,90%;72,77%;80,39%;94,34%;71,90%;80,83%;84,97%;72,77%;76,47%;82,57%;72,98%;19,83%;33,33%
150380 - Jacundá;88,96%;76,42%;77,93%;81,44%;64,88%;85,79%;76,09%;91,30%;77,59%;82,78%;76,09%;83,78%;82,78%;80,27%;78,43%;79,77%;76,42%;35,12%;56,86%
150506 - Novo Repartimento;97,58%;57,72%;50,39%;66,09%;40,38%;79,47%;57,72%;65,49%;90,42%;102,50%;57,72%;84,21%;79,72%;75,93%;72,56%;78,60%;49,27%;21,57%;28,56%
150795 - Tailândia;40,33%;76,02%;75,44%;66,28%;66,57%;81,54%;75,80%;69,99%;88,15%;89,53%;75,80%;87,94%;89,32%;79,72%;77,47%;84,52%;97,75%;43,97%;58,72%
150810 - Tucuruí;52,65%;77,71%;62,45%;72,26%;56,43%;70,37%;77,49%;46,91%;78,50%;73,78%;77,56%;84,10%;74,58%;78,50%;61,07%;77,12%;74,15%;36,02%;41,18%
;76,46%;71,08%;60,70%;74,67%;55,29%;70,70%;71,01%;68,73%;76,67%;77,26%;71,00%;78,51%;73,99%;72,72%;64,02%;74,25%;72,98%;32,63%;43,45%
Totais;77,76%;67,43%;56,89%;76,02%;53,36%;69,20%;67,37%;68,38%;76,06%;74,87%;67,36%;76,72%;71,64%;69,79%;62,00%;72,98%;72,92%;33,59%;40,96%
150040 - Alenquer;59,89%;35,35%;30,68%;83,70%;35,99%;60,53%;35,35%;42,31%;64,65%;61,36%;35,35%;61,90%;62,82%;42,03%;41,39%;55,77%;64,65%;35,81%;29,95%
150050 - Almeirim;111,15%;78,63%;85,65%;86,56%;66,87%;92,82%;78,63%;111,30%;89,16%;107,02%;78,63%;89,92%;105,65%;82,75%;91,15%;85,34%;95,73%;60,76%;71,45%
150145 - Belterra;94,23%;86,86%;76,28%;73,08%;62,50%;86,22%;86,86%;72,12%;85,90%;94,55%;86,86%;89,42%;92,63%;83,97%;75,64%;79,81%;94,55%;28,85%;57,69%
150285 - Curuá;86,51%;93,95%;85,12%;118,14%;60,00%;94,42%;93,95%;62,79%;88,37%;93,49%;93,95%;93,02%;94,42%;102,79%;82,79%;89,30%;89,77%;57,21%;41,86%
150300 - Faro;109,92%;120,66%;104,13%;96,69%;95,04%;117,36%;119,01%;96,69%;100,83%;115,70%;119,01%;102,48%;112,40%;123,14%;120,66%;106,61%;114,88%;86,78%;159,50%
150390 - Juruti;54,52%;75,77%;65,14%;77,79%;54,52%;71,38%;75,94%;63,04%;82,62%;76,03%;75,77%;80,60%;78,05%;72,96%;67,08%;75,59%;66,90%;50,31%;44,51%
150475 - Mojuí dos Campos;103,63%;104,23%;97,58%;89,12%;75,23%;98,49%;104,23%;86,71%;113,60%;117,52%;104,23%;111,48%;105,14%;106,04%;90,33%;107,85%;107,55%;43,50%;67,07%
150480 - Monte Alegre;90,12%;75,91%;71,06%;74,00%;58,93%;79,29%;75,91%;74,00%;82,41%;88,91%;75,91%;82,06%;82,84%;79,03%;74,09%;82,84%;82,67%;24,52%;51,04%
150510 - Óbidos;65,43%;68,24%;68,04%;75,38%;61,91%;75,28%;68,24%;54,27%;81,01%;78,69%;68,14%;77,79%;77,49%;73,67%;70,25%;72,16%;69,75%;54,37%;52,56%
150530 - Oriximiná;84,11%;59,37%;51,54%;72,04%;45,97%;73,28%;59,37%;87,26%;69,03%;73,94%;59,37%;70,79%;74,60%;62,74%;69,77%;63,03%;77,31%;26,35%;33,16%
150565 - Placas;96,84%;94,94%;81,01%;85,13%;77,22%;85,13%;94,94%;95,89%;107,59%;97,78%;94,94%;103,48%;93,35%;97,78%;80,70%;98,10%;87,66%;63,29%;69,94%
150600 - Prainha;87,65%;80,74%;67,21%;73,09%;58,24%;77,35%;80,74%;78,97%;87,06%;88,09%;80,74%;85,29%;80,74%;83,09%;74,71%;85,29%;75,74%;38,09%;48,09%
150680 - Santarém;75,61%;61,62%;45,60%;72,25%;48,95%;58,06%;61,48%;64,07%;67,76%;63,09%;61,49%;70,98%;58,22%;63,24%;49,38%;67,92%;63,99%;23,69%;28,95%
150797 - Terra Santa;61,17%;91,26%;75,40%;73,14%;67,64%;75,40%;91,26%;36,57%;100,97%;84,14%;91,26%;89,64%;77,02%;91,91%;78,32%;89,97%;104,85%;24,92%;70,23%
Totais;80,99%;75,51%;57,22%;67,94%;54,01%;64,13%;75,46%;69,43%;74,14%;75,18%;75,44%;75,53%;69,26%;74,96%;55,22%;71,37%;65,05%;31,16%;40,87%
150100 - Aveiro;31,82%;74,03%;61,04%;120,13%;64,94%;68,18%;74,68%;21,43%;72,08%;81,17%;74,03%;75,97%;69,48%;74,03%;63,64%;64,94%;80,52%;53,25%;56,49%
150360 - Itaituba;69,40%;66,20%;43,03%;58,16%;42,22%;50,98%;66,07%;51,88%;62,35%;63,03%;66,07%;64,19%;56,50%;64,27%;39,66%;62,78%;50,04%;22,44%;26,41%
150375 - Jacareacanga;55,83%;61,74%;40,44%;50,23%;30,79%;39,97%;61,74%;45,88%;47,12%;47,12%;61,74%;53,34%;44,48%;59,88%;40,90%;45,26%;52,26%;5,44%;25,82%
150503 - Novo Progresso;127,84%;108,89%;94,17%;94,02%;89,94%;107,14%;108,89%;128,13%;122,59%;115,74%;108,89%;113,41%;112,10%;110,06%;93,00%;102,62%;102,19%;61,66%;61,37%
150619 - Rurópolis;97,12%;91,59%;94,23%;90,14%;80,29%;100,48%;91,59%;100,00%;95,19%;109,38%;91,59%;102,16%;101,44%;95,43%;89,66%;95,67%;103,37%;52,88%;99,76%
150805 - Trairão;120,33%;79,67%;65,90%;64,92%;71,15%;67,54%;79,67%;104,26%;84,92%;86,56%;79,67%;87,54%;79,02%;82,30%;68,52%;92,13%;63,61%;42,95%;49,18%
Totais;70,08%;76,58%;72,28%;76,31%;60,84%;79,01%;76,45%;69,05%;79,96%;84,43%;76,47%;84,92%;83,02%;78,10%;75,19%;79,36%;78,85%;31,39%;51,23%
150060 - Altamira;66,17%;80,46%;62,98%;73,23%;61,55%;67,83%;80,23%;64,06%;83,96%;79,25%;80,28%;92,18%;78,71%;83,20%;65,99%;86,61%;71,88%;30,28%;40,88%
150085 - Anapu;111,21%;96,72%;96,38%;89,66%;73,28%;108,28%;96,72%;111,72%;98,62%;113,62%;96,72%;104,48%;111,90%;100,34%;102,76%;93,62%;104,48%;63,45%;70,34%
150172 - Brasil Novo;63,55%;86,77%;75,48%;75,48%;72,90%;83,55%;86,77%;64,84%;86,77%;87,42%;86,77%;80,97%;78,71%;85,81%;76,45%;78,71%;80,97%;54,52%;60,00%
150445 - Medicilândia;92,54%;89,51%;100,00%;88,11%;89,04%;102,80%;89,51%;88,11%;99,07%;108,86%;89,51%;97,20%;106,29%;92,07%;97,67%;91,61%;101,40%;10,72%;90,44%
150548 - Pacajá;52,41%;48,26%;70,64%;69,97%;45,44%;76,14%;48,26%;60,05%;52,55%;70,38%;48,26%;58,58%;65,55%;47,99%;70,91%;55,09%;77,21%;14,61%;60,19%
150590 - Porto de Moz;42,66%;59,84%;63,28%;80,78%;43,59%;75,31%;59,84%;39,38%;58,44%;75,47%;59,84%;59,06%;74,22%;59,69%;68,59%;51,25%;64,06%;34,84%;36,41%
150780 - Senador José Porfírio;66,38%;64,93%;59,13%;57,39%;47,25%;62,90%;64,93%;59,71%;62,90%;65,51%;64,93%;73,91%;67,54%;67,83%;62,03%;70,72%;62,32%;16,52%;42,61%
150815 - Uruará;76,73%;84,35%;74,15%;79,73%;63,40%;85,31%;83,95%;72,52%;92,93%;89,52%;83,95%;96,60%;91,84%;85,17%;81,63%;90,75%;87,35%;28,30%;45,03%
150835 - Vitória do Xingu;84,80%;80,41%;85,81%;77,03%;63,18%;84,80%;80,41%;88,85%;81,76%;91,89%;80,41%;84,46%;88,85%;78,04%;80,74%;83,45%;80,41%;42,57%;60,47%
;75,86%;81,43%;75,86%;78,69%;63,53%;81,83%;81,25%;74,52%;84,52%;86,03%;81,25%;86,38%;83,99%;84,46%;77,27%;83,31%;82,09%;44,18%;52,85%
Totais;72,25%;68,29%;66,03%;73,98%;54,67%;71,58%;68,33%;67,26%;76,35%;76,87%;68,27%;77,36%;75,07%;72,74%;66,81%;71,11%;74,36%;44,12%;48,73%
150020 - Acará;51,23%;60,74%;62,17%;63,19%;54,70%;68,61%;60,84%;41,62%;70,86%;70,04%;60,74%;69,02%;69,53%;62,47%;66,56%;62,99%;73,21%;35,07%;34,66%
150190 - Bujaru;70,02%;76,35%;68,62%;90,16%;64,64%;70,96%;76,35%;61,83%;85,48%;82,90%;76,35%;88,76%;75,64%;82,20%;67,68%;74,24%;83,37%;47,54%;61,12%
150260 - Colares;42,95%;67,11%;67,79%;80,54%;44,30%;71,14%;67,79%;35,57%;63,76%;75,17%;67,11%;68,46%;70,47%;71,81%;79,87%;56,38%;66,44%;47,65%;51,01%
150275 - Concórdia do Pará;92,31%;99,78%;103,96%;89,45%;74,51%;102,20%;99,78%;91,65%;102,64%;114,29%;99,78%;104,40%;108,79%;102,86%;99,56%;100,66%;98,24%;67,69%;71,65%
150650 - Santa Izabel do Pará;67,30%;68,60%;65,88%;60,07%;56,75%;66,47%;68,60%;69,19%;76,90%;73,93%;68,60%;69,67%;68,60%;70,26%;64,57%;67,06%;71,21%;24,29%;42,18%
150700 - Santo Antônio do Tauá;23,76%;40,05%;38,46%;58,60%;32,58%;45,02%;40,05%;21,49%;42,76%;43,21%;40,05%;46,61%;46,38%;45,48%;39,14%;39,14%;44,57%;20,36%;23,53%
150710 - São Caetano de Odivelas;57,84%;88,24%;79,90%;92,65%;55,88%;80,39%;88,24%;45,59%;91,67%;85,29%;88,24%;99,51%;90,69%;96,57%;74,02%;87,75%;99,02%;43,14%;52,45%
150800 - Tomé-Açu;116,67%;71,94%;71,04%;87,22%;60,90%;83,40%;71,88%;112,50%;87,71%;88,75%;71,88%;91,11%;85,49%;79,93%;71,60%;84,03%;82,15%;70,00%;65,83%
150820 - Vigia;40,94%;56,04%;44,97%;59,40%;32,89%;48,99%;56,21%;31,88%;53,36%;53,19%;56,04%;57,38%;59,06%;58,22%;47,99%;55,87%;52,85%;21,14%;30,20%
Totais;69,08%;85,26%;78,70%;82,21%;68,19%;85,72%;84,93%;77,67%;85,40%;87,04%;84,99%;89,58%;86,89%;87,37%;80,95%;86,60%;86,03%;48,20%;56,36%
150095 - Aurora do Pará;89,14%;88,38%;81,57%;87,88%;67,17%;87,37%;88,38%;84,85%;92,17%;84,60%;88,38%;92,42%;84,85%;90,15%;80,30%;87,88%;93,43%;42,17%;61,11%
150230 - Capitão Poço;83,23%;91,61%;78,97%;75,87%;84,26%;85,55%;91,23%;69,68%;95,23%;85,94%;91,61%;101,16%;89,81%;94,58%;77,94%;97,16%;83,10%;50,58%;57,29%
150240 - Castanhal;55,78%;91,88%;76,62%;82,24%;64,79%;86,15%;91,74%;78,71%;81,35%;85,09%;91,81%;88,34%;89,06%;92,39%;84,30%;86,60%;81,35%;44,91%;53,58%
150290 - Curuçá;46,05%;74,56%;79,17%;88,60%;59,43%;80,70%;74,56%;51,54%;76,10%;85,53%;74,56%;82,46%;89,25%;78,29%;84,87%;79,17%;83,55%;40,35%;57,68%
150307 - Garrafão do Norte;75,19%;85,53%;81,91%;78,04%;75,19%;90,70%;85,27%;81,65%;88,11%;90,70%;85,27%;86,05%;90,96%;88,11%;83,20%;85,79%;95,09%;50,90%;87,34%
150320 - Igarapé-Açu;54,85%;91,56%;78,69%;96,84%;68,99%;86,92%;86,50%;65,40%;80,38%;91,14%;86,29%;85,65%;92,62%;91,35%;77,64%;83,33%;94,30%;66,46%;72,15%
150340 - Inhangapi;46,67%;99,26%;114,07%;92,59%;88,89%;108,89%;98,52%;64,44%;102,96%;123,70%;99,26%;100,74%;104,44%;100,00%;98,52%;88,15%;98,52%;80,74%;76,30%
150345 - Ipixuna do Pará;63,64%;66,90%;53,86%;70,33%;52,49%;81,99%;66,55%;57,12%;62,44%;78,73%;66,90%;75,64%;75,81%;67,58%;61,41%;69,13%;67,24%;25,04%;38,59%
150350 - Irituia;56,44%;68,15%;82,90%;74,71%;64,64%;89,23%;68,15%;72,37%;78,69%;83,84%;68,15%;76,58%;80,56%;76,11%;83,84%;70,73%;103,75%;44,96%;58,31%
150405 - Mãe do Rio;104,35%;94,47%;92,89%;104,74%;76,68%;95,26%;94,47%;108,70%;95,65%;97,43%;94,47%;104,15%;98,62%;95,45%;91,70%;102,77%;108,70%;54,94%;79,05%
150410 - Magalhães Barata;98,89%;121,11%;126,67%;104,44%;133,33%;148,89%;121,11%;114,44%;123,33%;135,56%;121,11%;125,56%;117,78%;124,44%;108,89%;115,56%;115,56%;122,22%;170,00%
150430 - Maracanã;38,36%;69,50%;62,26%;63,84%;57,86%;66,04%;68,55%;34,59%;74,53%;70,13%;68,55%;83,33%;73,58%;72,64%;61,64%;72,96%;70,13%;35,85%;41,19%
150440 - Marapanim;44,78%;74,07%;80,47%;81,82%;58,59%;77,44%;74,07%;53,54%;70,71%;81,14%;74,07%;83,84%;86,53%;76,43%;83,50%;80,47%;92,93%;48,48%;59,26%
150495 - Nova Esperança do Piriá;88,48%;95,91%;96,28%;77,70%;90,33%;92,94%;95,91%;88,48%;104,46%;108,55%;95,91%;95,91%;97,40%;107,43%;94,42%;105,20%;98,88%;19,70%;30,48%
150550 - Paragominas;80,16%;70,62%;71,29%;67,29%;59,81%;73,45%;70,68%;81,82%;81,49%;80,27%;70,62%;82,93%;76,72%;74,11%;72,89%;80,27%;75,50%;49,56%;38,30%
150660 - Santa Maria do Pará;78,70%;102,07%;65,38%;92,01%;68,05%;80,47%;102,07%;89,94%;99,41%;71,30%;102,07%;105,03%;67,46%;102,07%;63,61%;95,56%;87,57%;32,84%;44,97%
150720 - São Domingos do Capim;93,63%;106,60%;118,63%;113,21%;87,74%;120,99%;106,60%;104,48%;109,91%;105,19%;106,60%;105,19%;105,42%;108,49%;114,86%;105,90%;108,02%;118,87%;109,20%
150740 - São Francisco do Pará;27,32%;83,90%;72,20%;92,20%;63,41%;86,83%;83,41%;50,73%;81,46%;89,27%;83,90%;82,93%;93,66%;80,98%;67,32%;86,34%;88,78%;56,59%;68,29%
150746 - São João da Ponta;26,32%;69,74%;61,84%;81,58%;42,11%;50,00%;69,74%;51,32%;68,42%;44,74%;69,74%;75,00%;67,11%;65,79%;67,11%;89,47%;64,47%;34,21%;60,53%
150760 - São Miguel do Guamá;72,49%;84,28%;79,77%;79,08%;70,52%;86,47%;84,28%;83,82%;94,10%;94,45%;84,28%;90,75%;88,09%;86,47%;80,00%;88,79%;87,86%;40,58%;50,75%
150796 - Terra Alta;29,30%;75,16%;70,06%;70,70%;59,87%;70,06%;73,89%;51,59%;81,53%;88,54%;73,89%;86,62%;73,25%;78,34%;75,16%;75,80%;70,06%;40,13%;42,68%
150812 - Ulianópolis;112,50%;97,95%;87,05%;104,55%;81,36%;97,27%;97,95%;111,36%;90,23%;95,68%;97,95%;102,27%;97,50%;99,77%;92,27%;94,55%;97,27%;39,09%;55,68%
Totais;89,74%;84,83%;78,45%;76,35%;62,39%;83,00%;84,74%;74,70%;89,13%;91,14%;84,68%;87,77%;85,81%;88,34%;78,92%;86,94%;81,31%;37,59%;50,10%
150090 - Augusto Corrêa;101,04%;93,35%;81,49%;84,49%;65,97%;94,00%;92,83%;89,83%;96,61%;100,65%;92,83%;96,61%;94,52%;95,44%;74,58%;96,35%;81,23%;28,81%;57,37%
150160 - Bonito;50,26%;81,03%;68,72%;73,33%;62,56%;66,67%;81,03%;40,00%;80,00%;75,90%;81,03%;75,90%;72,82%;74,87%;57,44%;73,85%;71,28%;63,59%;49,74%
150170 - Bragança;101,88%;88,60%;81,23%;68,69%;51,37%;87,79%;88,60%;92,79%;93,06%;93,98%;88,60%;92,09%;92,09%;96,45%;86,44%;95,54%;83,97%;29,64%;38,14%
150195 - Cachoeira do Piriá;65,76%;86,78%;74,92%;83,39%;64,75%;73,22%;87,46%;49,49%;74,58%;92,54%;86,78%;93,90%;84,75%;96,27%;80,68%;75,59%;92,20%;32,20%;42,03%
150220 - Capanema;100,85%;87,41%;82,39%;69,90%;73,85%;84,63%;87,41%;83,03%;91,89%;92,32%;87,41%;88,69%;85,59%;88,26%;80,68%;88,05%;80,26%;37,14%;63,50%
150500 - Nova Timboteua;95,14%;107,64%;94,44%;84,72%;95,83%;90,97%;106,94%;106,25%;100,69%;106,94%;106,94%;105,56%;104,17%;106,25%;84,03%;100,69%;95,83%;50,69%;91,67%
150540 - Ourém;45,98%;99,55%;81,70%;87,95%;90,63%;76,34%;99,55%;34,38%;97,77%;91,52%;99,55%;95,54%;91,07%;100,89%;93,75%;102,23%;91,96%;68,30%;66,96%
150560 - Peixe-Boi;54,29%;78,57%;84,29%;80,00%;72,86%;68,57%;77,14%;48,57%;84,29%;84,29%;75,71%;80,00%;58,57%;81,43%;77,14%;64,29%;88,57%;42,86%;48,57%
150610 - Primavera;100,00%;100,59%;98,82%;85,80%;97,04%;90,53%;100,59%;102,37%;96,45%;117,16%;100,59%;97,63%;98,22%;100,59%;92,31%;87,57%;104,73%;73,37%;110,06%
150611 - Quatipuru;65,97%;86,11%;65,97%;71,53%;75,69%;67,36%;86,11%;52,08%;84,03%;86,11%;86,11%;82,64%;84,72%;84,72%;66,67%;84,72%;88,89%;56,94%;58,33%
150620 - Salinópolis;81,33%;79,49%;77,23%;84,72%;59,83%;83,88%;79,49%;43,85%;96,75%;90,52%;79,49%;86,56%;79,92%;84,87%;80,76%;86,28%;82,74%;34,51%;39,04%
150655 - Santa Luzia do Pará;79,71%;89,13%;78,62%;97,83%;72,83%;84,78%;88,04%;75,00%;87,32%;86,96%;87,68%;86,96%;81,88%;88,04%;77,54%;85,51%;69,93%;57,97%;64,49%
150690 - Santarém Novo;79,55%;89,77%;93,18%;64,77%;86,36%;100,00%;89,77%;77,27%;85,23%;104,55%;89,77%;85,23%;101,14%;94,32%;93,18%;82,95%;97,73%;84,09%;98,86%
150747 - São João de Pirabas;74,38%;69,40%;66,90%;70,46%;59,07%;72,24%;69,40%;67,97%;86,12%;81,49%;69,40%;76,51%;70,11%;75,09%;70,46%;74,73%;71,89%;55,87%;61,57%
150803 - Tracuateua;103,66%;85,85%;77,32%;80,00%;64,88%;76,59%;85,61%;78,78%;98,54%;92,68%;85,85%;89,27%;90,24%;87,07%;75,37%;89,76%;82,68%;41,46%;54,88%
150830 - Viseu;83,61%;63,99%;67,22%;72,91%;43,81%;74,69%;64,10%;61,09%;65,89%;75,36%;63,99%;69,90%;71,68%;65,66%;66,22%;66,33%;67,45%;22,19%;27,76%
;64,57%;63,94%;53,90%;62,69%;48,99%;61,92%;63,83%;56,15%;67,52%;68,60%;63,83%;71,16%;66,40%;66,70%;58,04%;66,55%;69,28%;34,54%;38,74%
Totais;67,45%;71,51%;58,18%;63,73%;53,54%;63,14%;71,39%;58,41%;73,93%;71,41%;71,39%;76,59%;69,70%;73,16%;62,58%;73,09%;70,20%;35,06%;42,51%
150080 - Ananindeua;73,55%;87,12%;55,77%;56,75%;52,56%;58,41%;86,70%;67,43%;72,94%;68,14%;86,72%;79,94%;67,98%;88,05%;57,92%;77,01%;65,65%;33,65%;43,74%
150140 - Belém;62,45%;63,32%;57,01%;66,02%;52,59%;62,90%;63,32%;51,82%;73,01%;71,80%;63,30%;73,55%;68,74%;65,54%;62,04%;69,28%;70,48%;34,28%;39,24%
150150 - Benevides;95,08%;85,24%;74,83%;62,70%;66,25%;84,78%;85,13%;93,59%;96,45%;89,93%;85,24%;89,82%;83,30%;85,93%;79,06%;90,27%;80,43%;58,35%;73,23%
150442 - Marituba;74,49%;75,55%;66,03%;65,50%;56,25%;69,07%;75,55%;65,37%;68,41%;66,69%;75,55%;80,30%;73,69%;75,61%;73,76%;79,05%;74,62%;34,57%;49,77%
150635 - Santa Bárbara do Pará;80,15%;108,09%;80,15%;87,50%;72,79%;80,51%;108,09%;70,59%;105,51%;89,71%;108,09%;106,99%;96,32%;106,99%;82,72%;108,46%;100,37%;38,24%;58,09%
Totais;55,02%;68,49%;57,70%;66,32%;50,75%;64,58%;68,29%;55,39%;67,39%;71,01%;68,29%;70,51%;68,29%;70,66%;60,60%;66,27%;71,76%;40,49%;39,70%
150010 - Abaetetuba;33,63%;61,03%;40,85%;52,79%;36,85%;46,68%;61,03%;31,63%;57,15%;51,81%;61,03%;60,91%;53,04%;60,99%;44,07%;53,81%;56,09%;22,30%;24,01%
150120 - Baião;80,51%;77,95%;68,70%;70,08%;68,50%;76,18%;77,95%;80,12%;78,15%;87,80%;77,95%;80,12%;78,94%;79,72%;68,31%;77,76%;82,48%;49,80%;39,76%
150130 - Barcarena;105,24%;90,26%;75,09%;78,15%;68,69%;83,02%;90,21%;104,59%;87,80%;95,27%;90,26%;88,64%;87,94%;91,23%;75,23%;84,23%;92,25%;67,21%;62,85%
150210 - Cametá;26,53%;59,71%;67,32%;78,36%;53,46%;75,78%;59,67%;41,20%;74,65%;79,76%;59,62%;70,89%;72,07%;63,47%;70,08%;66,41%;73,43%;44,95%;38,12%
150330 - Igarapé-Miri;87,34%;90,68%;66,24%;65,55%;57,90%;72,52%;90,68%;66,14%;69,97%;73,60%;90,68%;79,00%;77,63%;94,41%;72,42%;78,21%;83,42%;29,93%;37,39%
150400 - Limoeiro do Ajuru;45,27%;58,57%;67,52%;63,43%;45,01%;70,84%;58,57%;52,43%;59,34%;62,40%;58,57%;67,01%;70,84%;69,31%;70,84%;68,80%;72,38%;33,50%;40,66%
150460 - Mocajuba;91,71%;82,46%;78,44%;82,70%;69,43%;82,23%;82,46%;89,81%;85,07%;96,68%;82,46%;89,10%;89,34%;82,94%;83,18%;84,60%;92,65%;69,19%;87,44%
150470 - Moju;29,17%;46,85%;30,70%;47,62%;31,29%;35,97%;45,07%;26,28%;43,37%;45,15%;45,15%;47,87%;44,98%;50,60%;34,35%;44,98%;51,11%;26,36%;30,02%
150520 - Oeiras do Pará;23,50%;47,63%;38,01%;60,25%;35,49%;47,48%;47,79%;25,24%;37,22%;50,79%;47,63%;55,21%;51,42%;47,63%;44,01%;50,16%;53,63%;25,39%;16,40%
Totais;64,20%;54,32%;53,52%;66,93%;45,99%;70,25%;54,26%;51,56%;57,33%;69,69%;54,32%;64,79%;68,82%;58,99%;57,87%;61,29%;75,38%;38,74%;40,70%
150030 - Afuá;43,93%;34,44%;38,94%;54,01%;37,67%;58,71%;34,34%;39,63%;33,17%;48,73%;34,44%;43,64%;51,76%;37,08%;42,66%;36,30%;61,06%;33,95%;39,43%
150200 - Cachoeira do Arari;49,15%;56,78%;53,39%;75,14%;44,92%;61,30%;56,50%;44,92%;61,58%;59,04%;56,78%;57,06%;55,65%;59,32%;57,63%;60,17%;73,16%;19,21%;44,07%
150250 - Chaves;48,47%;38,78%;38,78%;52,04%;36,48%;54,59%;38,78%;36,73%;41,07%;59,44%;38,78%;50,00%;58,67%;39,03%;41,33%;38,01%;61,99%;27,55%;32,40%
150490 - Muaná;79,83%;51,65%;57,04%;82,78%;38,09%;92,17%;51,65%;70,96%;70,26%;88,00%;51,65%;64,52%;68,00%;53,39%;60,52%;69,04%;90,96%;53,74%;45,04%
150570 - Ponta de Pedras;65,03%;88,34%;92,64%;92,94%;78,22%;96,32%;88,34%;49,39%;111,04%;111,96%;88,34%;99,39%;102,45%;89,57%;95,71%;91,41%;94,17%;77,91%;69,63%
150630 - Salvaterra;69,08%;57,24%;54,28%;55,92%;52,96%;64,80%;56,91%;63,16%;57,57%;65,13%;57,24%;67,43%;65,13%;66,12%;65,46%;62,17%;75,99%;31,25%;28,62%
150640 - Santa Cruz do Arari;62,67%;57,33%;45,33%;56,00%;48,00%;37,33%;57,33%;50,67%;45,33%;38,67%;57,33%;57,33%;60,00%;57,33%;48,00%;68,00%;62,67%;18,67%;20,00%
150770 - São Sebastião da Boa Vista;93,96%;73,68%;71,73%;81,48%;55,95%;85,38%;73,68%;55,17%;84,41%;101,95%;73,68%;92,59%;104,87%;82,26%;74,07%;84,02%;90,25%;42,88%;53,22%
150790 - Soure;81,97%;68,17%;45,07%;53,52%;43,94%;60,00%;68,45%;64,51%;33,52%;47,32%;68,17%;77,46%;65,63%;85,35%;53,24%;84,79%;71,83%;28,73%;13,24%
Totais;69,47%;38,58%;35,20%;52,02%;33,73%;49,98%;38,57%;52,50%;52,80%;55,80%;38,58%;58,30%;52,05%;44,69%;40,20%;49,10%;59,69%;22,21%;24,49%
150070 - Anajás;124,13%;65,50%;55,63%;56,00%;51,00%;82,63%;65,50%;86,38%;79,88%;83,75%;65,50%;85,50%;85,75%;70,38%;69,75%;72,38%;86,75%;46,25%;48,75%
150110 - Bagre;59,36%;43,85%;34,22%;56,68%;31,02%;49,91%;43,85%;39,04%;60,78%;61,50%;43,85%;62,57%;59,18%;47,24%;40,29%;65,06%;61,85%;10,34%;21,39%
150180 - Breves;59,63%;30,94%;28,80%;47,20%;29,37%;39,19%;30,90%;56,09%;47,34%;46,41%;30,94%;50,80%;39,48%;38,16%;29,62%;41,87%;52,27%;17,86%;20,11%
